name,한글공항명,code,공항코드2(ICAO),공항운영상태구분
Barranquilla Ernesto Cortissoz Airport,에르네스토 코르티쇼즈 공항,BAQ,SKBQ,기존공항
Barreiras Airport,바레이라스 공항,BRA,SNBR,기존공항
Barretos Airport,섀파이 암사이 공항,BAT,SNBA,기존공항
Lake Simcoe Regional Airport,레이크 심코 리저널,YLK,CYLS,기존공항
Barrow Wiley Post/Will Rogers Memorial Airport,윌 로저스 미모리얼 공항 ,BRW,PABR,기존공항
Basankusu Airport,바산쿠수 공항,BSU,FZEN,기존공항
EuroAirport Basel/Mulhouse/Freiburg Swiss,유로공항,BSL,LFSB,기존공항
Basrah International Airport,바스라 국제공항,BSR,ORMM,기존공항
Bastia Poretta Airport,포레타 공항,BIA,LFKB,기존공항
Bata International Airport,바타 공항,BSG,FGBT,기존공항
Batagay Airport,바타가이 공항,BQJ,UEBB,기존공항
Batam Hang Nadim Airport,행 다님 공항,BTH,WIDD,기존공항
Bathurst Raglan Airport,레글런 공항,BHS,YBTH,기존공항
Bathurst Regional Airport,배터스트 공항,ZBF,CZBF,기존공항
Bathurst Island Airport,베더스트아일랜드 공항,BRT,YBTI,기존공항
Batman Airport,바트만 공항,BAL,LTCJ,기존공항
Batna Airport,바트나 공항,BLJ,DABT,기존공항
Baton Rouge Metropolitan Airport,배턴루지 메트로폴리탄 공항,BTR,KBTR,기존공항
Batsfjord Airport,보트스피오르 공항,BJF,ENBS,기존공항
Batticaloa International Airport,바티칼로아 공항,BTC,VCCB,기존공항
Battle Creek Executive Airport,배틀 크릭 이그제큐티브 공항,BTL,KBTL,기존공항
Batu Licin Bersujud Airport,바투리신 공항,BTW,WAOC,기존공항
Batumi Airport,바투미 공항,BUS,UGSB,기존공항
Baubau Betoambari Airport,베토암바리 공항,BUW,WAWB,기존공항
Bauchi Airport,바우치 공항,BCU,DNBC,기존공항
Bayankhongor Airport,바얀콩고르 공항,BYN,ZMBH,기존공항
Bayannur Tianjitai Airport,바야누르 톈지타이 공항,RLK,ZBYZ,기존공항
Beaufort County Airport,보퍼트 카운티 공항,BFT,KARW,기존공항
Jack Brooks Regional Airport,사우스이스트 텍사스 지역공항 ,BPT,KBPT,기존공항
Bechar Leger Airport,레저 공항 ,CBH,DAOR,기존공항
Beckley Raleigh County Memorial Airport,베크리럴리 카운티 미모리얼 공항,BKW,KBKW,기존공항
