,code,name,latitude_deg,longitude_deg
388,DLG,Dillingham Airport,59.04470062,-158.5050049
389,DMU,Dimapur Airport,25.88389969,93.77110291
390,DPL,Dipolog Airport,8.601983,123.341875
391,DJM,Djambala Airport,-2.516883,14.754403
392,DDC,Dodge City Regional Airport,37.76340103,-99.96559906
393,DOD,Dodoma Airport,-6.17044,35.752602
394,VDH,Dong Hoi Airport,17.515,106.590556
395,DOG,Dongola Airport,19.15390015,30.43009949
396,DOY,Dongying Shengli Airport,37.50859833,118.788002
397,DTM,Dortmund Airport,51.518299,7.61224
398,DHN,Dothan Regional Airport,31.32130051,-85.44960022
399,DOU,Dourados Airport,-22.2019,-54.926601
400,DRS,Dresden Airport,51.134123,13.767831
401,DRS,Dresden Airport,33.34479904,-84.91130066
402,YHD,Dryden Regional Airport,49.831699,-92.744202
403,DXB,Dubai International Airport,25.25279999,55.36439896
404,DUB,Dublin Airport,53.428713,-6.262121
405,DUJ,DuBois Regional Airport,41.17829895,-78.8986969
406,DBV,Dubrovnik Airport,42.56140137,18.26819992
407,DBQ,Dubuque Regional Airport,42.402,-90.709503
408,DLH,Duluth International Airport,46.842098,-92.193604
409,DND,Dundee Airport,56.45249939,-3.02583003
410,DND,Dundee Airport,-28.18309975,30.22249985
411,DNH,Dunhuang Mogao International Airport,40.161098,94.809196
412,DKI,Dunk Island Airport,-17.93913,146.141447
413,DQM,Duqm International Airport,19.501944,57.634167
414,MME,Teesside International Airport,54.509201,-1.42941
415,DYU,Dushanbe Airport,38.54330063,68.82499695
416,EAU,Chippewa Valley Regional Airport,44.86579895,-91.48429871
417,EOI,Eday Airport,59.19060135,-2.772219896
418,EDI,Edinburgh Airport,55.950145,-3.372288
419,YEG,Edmonton International Airport,53.3097,-113.580002
420,JEG,Aasiaat Airport,68.721802,-52.784698
421,EGX,Egegik Airport,58.184386,-157.374873
422,EIN,Eindhoven Airport,51.45009995,5.374529839
423,EJN,Ejin Banner Taolai Airport,42.0155,101.0005
424,AAC,El Arish International Airport,31.078565,33.836791
425,MHW,Monteagudo Airport,-19.82699966,-63.96099854
426,EBH,El Bayadh Airport,33.72166667,1.0925
427,EHL,El Bolson Airport,-41.94319916,-71.53230286
428,ELF,El Fasher Airport,13.61489964,25.32460022
429,ELG,El Golea Airport,30.580732,2.861595
430,ENI,El Nido Airport,11.202399,119.416087
431,ELP,El Paso International Airport,31.80719948,-106.3779984
432,ELC,Elcho Island Airport,-12.01939964,135.5709991
433,ESL,Elista Airport,46.37390137,44.33089828
434,EKO,Elko Regional Airport,40.82490158,-115.7919998
435,ELL,Ellisras Matimba Airport,-23.72669983,27.68829918
436,EMD,Emerald Airport,-23.56749916,148.1790009
437,ENF,Enontekio Airport,68.36260223,23.42429924
438,ENH,Enshi Xujiaping Airport,30.320299,109.485001
439,EBB,Entebbe International Airport,0.042386,32.443501
440,EBL,Erbil International Airport,36.23759842,43.96319962
441,ERG,Yerbogachen Airport,61.27500153,108.0299988
442,ERF,Erfurt Airport,50.97980118,10.95810032
443,ERL,Erenhot Saiwusu International Airport,43.4225,112.096667
444,EBJ,Esbjerg Airport,55.525902,8.5534
445,ESC,Delta County Airport,45.72269821,-87.09369659
446,EPR,Esperance Airport,-33.684399,121.822998
447,EVV,Evansville Regional Airport,38.03699875,-87.53240204
448,EXT,Exeter Airport,36.243,-119.150002
449,LEA,Learmonth Airport,-22.235201,114.090024
